p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
4.74170474992e-31	1.86507053497e-29	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	Reactome	R-HSA-141444	MAD2L1; BUB1B; PLK1; ZWINT; BIRC5; BUB1; NDC80; KIF2C; NUF2; SKA1; SKA2; AURKB; CDCA8; CENPN; CENPM; CENPK; CENPH; CENPF; CENPE; KIF18A; CENPA; ZWILCH; CENPU; SGO2; SGO1; CDC20; SPC24; SPC25; CKAP5	55143; 64946; 9212; 64105; 1063; 57405; 11130; 147841; 4085; 55055; 151246; 9793; 81930; 151648; 332; 1062; 348235; 220134; 83540; 5347; 991; 11004; 79019; 1058; 79682; 10403; 699; 701; 55839	96	96
4.74170474992e-31	1.86507053497e-29	Amplification of signal from the kinetochores	Reactome	R-HSA-141424	MAD2L1; BUB1B; PLK1; ZWINT; BIRC5; BUB1; NDC80; KIF2C; NUF2; SKA1; SKA2; AURKB; CDCA8; CENPN; CENPM; CENPK; CENPH; CENPF; CENPE; KIF18A; CENPA; ZWILCH; CENPU; SGO2; SGO1; CDC20; SPC24; SPC25; CKAP5	55143; 64946; 9212; 64105; 1063; 57405; 11130; 147841; 4085; 55055; 151246; 9793; 81930; 151648; 332; 1062; 348235; 220134; 83540; 5347; 991; 11004; 79019; 1058; 79682; 10403; 699; 701; 55839	96	96
3.31119368848e-30	1.20221801612e-28	Mitotic Spindle Checkpoint	Reactome	R-HSA-69618	MAD2L1; BUB1B; PLK1; ZWINT; BIRC5; BUB1; NDC80; KIF2C; NUF2; SKA1; SKA2; AURKB; CDCA8; CENPN; CENPM; CENPK; CENPH; CENPF; CENPE; KIF18A; CENPA; ZWILCH; CENPU; SGO2; SGO1; CDC20; SPC24; UBE2C; SPC25; CKAP5	55143; 64946; 9212; 10403; 1063; 57405; 11130; 147841; 4085; 55055; 151246; 9793; 81930; 11065; 151648; 332; 1062; 348235; 83540; 5347; 11004; 991; 220134; 79019; 1058; 64105; 79682; 699; 701; 55839	113	113
5.46505380609e-29	1.84250385462e-27	RHO GTPases Activate Formins	Reactome	R-HSA-5663220	MAD2L1; BUB1B; PLK1; ZWINT; BIRC5; BUB1; DIAPH3; NDC80; KIF2C; CENPH; SKA1; SKA2; AURKB; CDCA8; CENPN; CENPM; CENPK; NUF2; CENPF; CENPE; KIF18A; CENPA; ZWILCH; CENPU; SGO2; SGO1; CDC20; SPC24; SPC25; CKAP5	81624; 55143; 64946; 9212; 1063; 57405; 11130; 147841; 4085; 55055; 151246; 9793; 81930; 332; 1062; 348235; 83540; 5347; 11004; 991; 220134; 79019; 1058; 64105; 79682; 10403; 699; 701; 151648; 55839	123	123
7.76725185544e-29	2.44409525051e-27	RHO GTPase Effectors	Reactome	R-HSA-195258	HIST1H4C; MAD2L1; BUB1B; PLK1; ZWINT; BIRC5; KIF14; CIT; BUB1; PRC1; NDC80; KIF2C; IQGAP3; DIAPH3; SKA1; SKA2; AURKB; CDCA8; CENPN; CENPM; CENPK; CENPH; CDC25C; CENPF; CENPE; KIF18A; CENPA; HIST1H3G; ZWILCH; CENPU; HIST1H2BH; HIST2H2AC; NUF2; H2AFV; SGO2; SGO1; H2AFZ; CDC20; SPC24; SPC25; CKAP5	995; 81624; 55143; 64946; 9212; 991; 8355; 8364; 1063; 57405; 11113; 11130; 147841; 4085; 9793; 8345; 55055; 81930; 332; 1062; 348235; 83540; 5347; 220134; 79019; 1058; 64105; 8338; 79682; 10403; 699; 128239; 9055; 94239; 151246; 11004; 701; 9928; 151648; 3015; 55839	301	300
1.18961452064e-27	3.50936283588e-26	Signaling by Rho GTPases	Reactome	R-HSA-194315	HIST1H4C; MAD2L1; BUB1B; PLK1; ZWINT; BIRC5; KIF14; CIT; BUB1; PRC1; NDC80; DEPDC1B; KIF2C; IQGAP3; ECT2; RACGAP1; DIAPH3; SKA1; SKA2; AURKB; CDCA8; CENPN; CENPM; CENPK; NUF2; CDC25C; CENPF; CENPE; KIF18A; CENPA; CENPH; HIST1H3G; ZWILCH; CENPU; HIST1H2BH; HIST2H2AC; H2AFV; SGO2; SGO1; H2AFZ; CDC20; ARHGAP11A; ARHGAP11B; SPC24; SPC25; CKAP5	4085; 55055; 348235; 79019; 1058; 8338; 89839; 701; 29127; 995; 5347; 81624; 55143; 8355; 1063; 11113; 147841; 9793; 9824; 83540; 9055; 9928; 94239; 9212; 81930; 151648; 220134; 64105; 79682; 10403; 699; 55839; 64946; 8364; 57405; 11130; 1894; 8345; 151246; 332; 1062; 11004; 991; 55789; 3015; 128239	435	430
2.78479794941e-27	7.73190960072e-26	DNA Replication	Reactome	R-HSA-69306	RFC4; RFC3; RFC2; CDC6; SKP2; CDT1; POLD1; POLD2; PRIM1; LIG1; PCNA; MCM10; ORC6; MCM7; MCM6; MCM5; MCM4; MCM3; MCM2; CCNA2; MCM8; GINS2; GINS4; UBE2C; CDC45	81620; 4175; 55388; 4174; 6502; 23594; 5425; 4176; 4172; 5111; 5983; 84515; 5557; 4173; 11065; 990; 5424; 3978; 4171; 84296; 5984; 890; 5982; 8318; 51659	80	80
4.43386586967e-27	1.16265816138e-25	S Phase	Reactome	R-HSA-69242	RFC4; RFC3; RFC2; CDC6; CCNA2; ESCO2; CDT1; CKS1B; POLD1; POLD2; PRIM1; LIG1; CDCA5; PCNA; ORC6; MCM7; MCM6; MCM5; MCM4; MCM3; MCM2; SKP2; MCM8; GINS2; GINS4; UBE2C; CDC45	5982; 890; 23594; 81620; 4175; 6502; 5425; 84515; 8318; 4171; 4174; 4173; 5424; 3978; 84296; 4176; 157570; 51659; 5983; 113130; 1163; 5111; 5557; 11065; 990; 5984; 4172	103	103
1.65488712252e-26	4.11108800963e-25	Synthesis of DNA	Reactome	R-HSA-69239	RFC4; RFC3; RFC2; CDC6; CCNA2; CDT1; POLD1; POLD2; PRIM1; LIG1; PCNA; ORC6; MCM7; MCM6; MCM5; MCM4; MCM3; MCM2; SKP2; MCM8; GINS2; GINS4; UBE2C; CDC45	81620; 4175; 4174; 5983; 5425; 4176; 4172; 5111; 84515; 5557; 11065; 990; 5424; 3978; 4171; 84296; 5984; 890; 5982; 8318; 23594; 51659; 4173; 6502	75	75
1.09379389257e-25	2.58135358648e-24	DNA strand elongation	Reactome	R-HSA-69190	PCNA; GINS2; GINS4; POLD1; RFC4; MCM2; POLD2; RFC3; RFC2; MCM7; MCM6; MCM5; MCM4; PRIM1; LIG1; CDC45; MCM3; MCM8	4175; 4174; 5983; 5425; 5111; 84515; 5557; 4173; 5982; 5424; 3978; 51659; 84296; 5984; 4172; 8318; 4176; 4171	32	32
3.1248358337e-25	7.0234405405e-24	G2/M Checkpoints	Reactome	R-HSA-69481	HIST1H4C; CLSPN; RFC4; RFC3; RFC2; CDC6; ORC6; RMI2; CHEK1; BRCA1; MCM10; CDC25C; RHNO1; MCM7; MCM6; MCM5; MCM4; MCM3; PKMYT1; HIST1H2BH; MCM8; CCNB2; CCNB1; GTSE1; CDK1; CDC45; MCM2	995; 55388; 983; 8364; 5982; 23594; 4175; 51512; 9133; 8345; 84515; 8318; 4171; 9088; 4174; 63967; 4173; 4176; 1111; 83695; 5983; 891; 990; 672; 5984; 4172; 116028	120	119
6.6640329295e-25	1.42973797397e-23	Aurora B signaling	PID	aurora_b_pathway	BIRC5; BUB1; RACGAP1; NDC80; SGO1; SMC2; SMC4; NCAPD2; STMN1; KIF23; AURKB; NCAPH; NCAPG; AURKA; CDCA8; CENPA; CBX5; KIF2C; KIF20A	10112; 699; 55143; 9493; 9918; 9212; 10051; 23468; 6790; 11004; 23397; 151648; 64151; 1058; 3925; 10592; 29127; 332; 10403	41	41
8.48311879774e-25	1.7408835098e-23	G1/S Transition	Reactome	R-HSA-69206	DHFR; RRM2; CDC6; SKP2; CDT1; CKS1B; PRIM1; PCNA; MCM10; ORC6; MCM7; MCM6; MCM5; MCM4; MCM3; MCM2; TK1; CCNA2; MCM8; CCNB1; E2F1; CDK1; CDC45	81620; 8318; 4175; 5557; 55388; 983; 4174; 1869; 6502; 23594; 5111; 84515; 6241; 891; 4173; 990; 1163; 7083; 4176; 890; 4172; 4171; 1719	76	76
1.02832184493e-24	2.02236629502e-23	Cell cycle - Homo sapiens (human)	KEGG	path:hsa04110	MAD2L1; BUB1B; PLK1; PKMYT1; CDC6; CCNA2; TTK; CDC25C; PTTG1; CHEK1; PCNA; SMC1B; BUB1; ORC6; MCM7; MCM6; MCM5; MCM4; MCM3; MCM2; SKP2; CCNB2; CCNB1; E2F1; CDC20; CDK1; CDC45	9232; 9088; 23594; 4171; 4172; 4173; 4175; 4176; 1111; 7272; 8318; 699; 701; 5347; 1869; 6502; 890; 891; 5111; 9133; 4174; 983; 990; 991; 995; 4085; 27127	124	124
4.25853871043e-24	8.04012108528e-23	Mitotic G1-G1/S phases	Reactome	R-HSA-453279	DHFR; RRM2; MYBL2; CDC6; CCNA2; CDT1; CKS1B; PRIM1; TOP2A; PCNA; MCM10; ORC6; MCM7; MCM6; MCM5; MCM4; MCM3; MCM2; TK1; SKP2; MCM8; CCNB1; E2F1; CDK1; CDC45	55388; 983; 6241; 1869; 7083; 890; 23594; 81620; 4175; 6502; 84515; 8318; 7153; 4171; 4174; 4173; 4176; 4605; 1163; 5111; 5557; 891; 990; 4172; 1719	104	104
7.25277581624e-23	1.31665776356e-21	DNA Replication	Wikipathways	WP466	PCNA; MCM10; POLD1; ORC6; RFC4; CDT1; POLD2; RFC3; RFC2; MCM7; MCM6; MCM5; MCM4; PRIM1; MCM2; CDC45; MCM3; CDC6	5111; 23594; 5982; 5983; 5984; 81620; 55388; 990; 5557; 8318; 4174; 4175; 4176; 4173; 4171; 4172; 5425; 5424	42	42
1.97488262866e-22	3.4523874101e-21	Cell Cycle	Wikipathways	WP179	PLK1; PKMYT1; CDC6; SKP2; TTK; CDC25C; PTTG1; CHEK1; PCNA; SMC1B; BUB1; ORC6; MCM7; MCM6; MCM5; MCM4; MCM3; MCM2; CCNA2; CCNB2; CCNB1; E2F1; CDC20; CDK1; CDC45	23594; 699; 995; 991; 990; 5347; 983; 9088; 6502; 27127; 9133; 7272; 1869; 9232; 4174; 4175; 4176; 4171; 4172; 4173; 5111; 1111; 890; 891; 8318	120	120
2.05959346249e-22	3.47188612249e-21	PLK1 signaling events	PID	plk1_pathway	TPX2; BUB1; ECT2; CLSPN; PLK1; SGO1; BUB1B; CDC25C; CCNB1; CDC20; CDK1; AURKA; CENPU; PRC1; SPC24; NDC80; CENPE; KIF20A	5347; 10112; 10403; 699; 63967; 983; 1894; 22974; 995; 9055; 991; 891; 6790; 701; 151648; 147841; 1062; 79682	44	44
2.62926709622e-22	4.27935886005e-21	Activation of ATR in response to replication stress	Reactome	R-HSA-176187	MCM10; CLSPN; CDC25C; RFC4; RFC3; RFC2; MCM7; MCM6; MCM5; MCM4; MCM3; MCM2; CDC45; MCM8; ORC6; CDC6; CHEK1	995; 4175; 55388; 1111; 4174; 5983; 63967; 84515; 4173; 5982; 4171; 5984; 4172; 990; 8318; 4176; 23594	37	37
9.21631344379e-21	1.45003331516e-19	DNA replication - Homo sapiens (human)	KEGG	path:hsa03030	PCNA; RFC3; RNASEH2A; RNASEH2B; RFC4; MCM5; MCM6; RFC2; MCM7; POLD1; POLD2; MCM4; PRIM1; LIG1; MCM3; MCM2	79621; 3978; 10535; 5424; 5425; 5557; 4175; 4171; 4172; 4173; 4174; 4176; 5982; 5983; 5984; 5111	36	36
1.19435759873e-20	1.81850576323e-19	Chromosome Maintenance	Reactome	R-HSA-73886	HIST1H4C; MIS18A; RFC4; RFC3; RFC2; HJURP; POLD1; POLD2; PRIM1; LIG1; PCNA; CENPN; CENPM; CENPK; OIP5; CENPH; CENPA; CENPW; CENPU; HIST1H2BH; HIST2H2AC; H2AFV; H2AFZ	55355; 64946; 79019; 5983; 54069; 8364; 5982; 8345; 5425; 11339; 5424; 3978; 387103; 1058; 64105; 8338; 79682; 5111; 94239; 5557; 5984; 3015; 55839	112	111
4.93470761514e-20	7.27869373233e-19	Mitotic G1-G1-S phases	Wikipathways	WP1858	PCNA; CCNA2; E2F1; TYMS; DHFR; CDT1; CDK1; RRM2; TK1; CDC45; MYBL2; CDC6; TOP2A	890; 7083; 5111; 990; 983; 1719; 7153; 7298; 1869; 6241; 81620; 4605; 8318	20	20
8.73876700546e-19	1.2499084929e-17	ATR signaling pathway	PID	atr_pathway	BRCA2; CCNA2; FANCD2; CLSPN; PLK1; RFC4; TIMELESS; RFC3; RFC2; MCM7; CDC25C; MCM2; RAD51; CDC6; CHEK1	5347; 5888; 1111; 8914; 995; 5983; 63967; 675; 990; 5984; 890; 2177; 5982; 4176; 4171	37	37
1.82560055608e-17	2.53436312491e-16	Unwinding of DNA	Reactome	R-HSA-176974	GINS2; GINS4; MCM7; MCM6; MCM5; MCM4; MCM3; MCM2; CDC45; MCM8	84515; 4174; 4173; 4175; 4172; 51659; 8318; 4176; 4171; 84296	12	12
3.10321819955e-16	4.18491140054e-15	Activation of the pre-replicative complex	Reactome	R-HSA-68962	MCM10; ORC6; CDT1; MCM7; MCM6; MCM5; MCM4; PRIM1; MCM2; CDC45; MCM3; CDC6; MCM8	81620; 4175; 55388; 4174; 84515; 5557; 4173; 990; 4172; 8318; 4176; 23594; 4171	33	33
3.45328111096e-16	4.52763523438e-15	FOXM1 transcription factor network	PID	foxm1pathway	CCNB2; CCNB1; BRCA2; SKP2; PLK1; CENPF; BIRC5; CCNA2; CKS1B; CENPA; CDK1; FOXM1; AURKB; NEK2	5347; 675; 983; 6502; 9133; 9212; 1163; 4751; 891; 1063; 1058; 890; 332; 2305	42	42
4.20380638266e-16	5.3626935476e-15	Orc1 removal from chromatin	Reactome	R-HSA-68949	SKP2; ORC6; CDT1; MCM7; MCM6; MCM5; MCM4; MCM3; MCM2; CCNA2; CDC6; MCM8	81620; 4175; 4174; 6502; 84515; 4173; 990; 890; 4172; 4176; 23594; 4171	26	26
1.83504047694e-15	2.2208695003e-14	DNA Replication Pre-Initiation	Reactome	R-HSA-69002	MCM10; ORC6; CDT1; MCM7; MCM6; MCM5; MCM4; PRIM1; MCM2; CDC45; MCM3; CDC6; MCM8	81620; 4175; 55388; 4174; 84515; 5557; 4173; 990; 4172; 8318; 4176; 23594; 4171	37	37
1.83504047694e-15	2.2208695003e-14	M/G1 Transition	Reactome	R-HSA-68874	MCM10; ORC6; CDT1; MCM7; MCM6; MCM5; MCM4; PRIM1; MCM2; CDC45; MCM3; CDC6; MCM8	81620; 4175; 55388; 4174; 84515; 5557; 4173; 990; 4172; 8318; 4176; 23594; 4171	37	37
4.62791283985e-14	5.39476164608e-13	Assembly of the pre-replicative complex	Reactome	R-HSA-68867	ORC6; CDT1; MCM7; MCM6; MCM5; MCM4; MCM3; MCM2; CDC6; MCM8	81620; 84515; 4174; 4175; 4172; 990; 4176; 23594; 4171; 4173	20	20
4.68612770104e-14	5.39476164608e-13	Switching of origins to a post-replicative state	Reactome	R-HSA-69052	SKP2; ORC6; UBE2C; CDT1; MCM7; MCM6; MCM5; MCM4; MCM3; MCM2; CCNA2; CDC6; MCM8	81620; 4175; 4174; 6502; 23594; 84515; 4173; 11065; 990; 890; 4172; 4176; 4171	46	46
9.60487316893e-14	1.05430235715e-12	Mitotic G2-G2/M phases	Reactome	R-HSA-453274	HMMR; CCNB2; TPX2; CCNA2; E2F1; PLK1; CDC25C; CENPF; GTSE1; PLK4; PKMYT1; HAUS1; CDK1; FOXM1; AURKA; NEK2; CCNB1; MYBL2; CKAP5	995; 983; 1869; 1063; 890; 51512; 9793; 9133; 6790; 2305; 5347; 9088; 4751; 22974; 10733; 4605; 891; 115106; 3161	139	139
9.60487316893e-14	1.05430235715e-12	Homology Directed Repair	Reactome	R-HSA-5693538	HIST1H4C; BRCA1; BRCA2; CCNA2; POLQ; CLSPN; RFC4; TIMELESS; RHNO1; RFC3; RFC2; RAD51AP1; POLD2; PCNA; RAD51; HIST1H2BH; POLD1; RMI2; CHEK1	8914; 675; 8364; 5982; 890; 8345; 5425; 10635; 10721; 63967; 5424; 672; 5888; 1111; 5983; 5111; 83695; 5984; 116028	141	139
2.85248562849e-13	2.99194048144e-12	APC/C-mediated degradation of cell cycle proteins	Reactome	R-HSA-174143	CCNB1; MAD2L1; NEK2; BUB1B; PLK1; UBE2C; CCNA2; CDC20; CDK1; AURKA; AURKB; PTTG1	5347; 4085; 4751; 983; 9232; 991; 9212; 891; 6790; 11065; 701; 890	41	41
2.85248562849e-13	2.99194048144e-12	Regulation of mitotic cell cycle	Reactome	R-HSA-453276	CCNB1; MAD2L1; NEK2; BUB1B; PLK1; UBE2C; CCNA2; CDC20; CDK1; AURKA; AURKB; PTTG1	5347; 4085; 4751; 983; 9232; 991; 9212; 891; 6790; 11065; 701; 890	41	41
